epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.8552,1.60905,2.52681,1.61954,0.47176,0.41076,0.40657,0.22959,1.78743,3.11192,1.9975,0.00066358,0.00066358,0.00066358
2,115.818,1.60713,1.94525,1.59419,0.57656,0.52408,0.52944,0.28131,1.78242,2.69043,1.8672,0.0012644,0.0012644,0.0012644
3,177.433,1.57717,1.75474,1.57392,0.53207,0.50708,0.47077,0.24282,1.72377,2.08917,1.79988,0.00179922,0.00179922,0.00179922
4,242.445,1.50458,1.54333,1.49888,0.76085,0.678,0.71792,0.40709,1.57288,1.46877,1.70433,0.001703,0.001703,0.001703
5,307.431,1.45442,1.43835,1.45785,0.72715,0.71972,0.75413,0.45126,1.43902,1.38249,1.59383,0.001604,0.001604,0.001604
6,372.783,1.4068,1.31721,1.42552,0.80834,0.77432,0.80999,0.49403,1.38401,1.22219,1.50924,0.001505,0.001505,0.001505
7,438.073,1.35,1.2015,1.37886,0.8412,0.7803,0.82922,0.52855,1.32783,1.138,1.48333,0.001406,0.001406,0.001406
8,504.459,1.32684,1.16957,1.36719,0.8542,0.769,0.84195,0.54893,1.29316,1.05993,1.42522,0.001307,0.001307,0.001307
9,570.912,1.25259,1.08957,1.32679,0.85817,0.83418,0.88509,0.58171,1.22304,0.96633,1.40707,0.001208,0.001208,0.001208
10,637.779,1.22636,1.0188,1.29516,0.87686,0.84049,0.90013,0.61742,1.1614,0.87216,1.32708,0.001109,0.001109,0.001109
11,737.761,1.17801,0.94159,1.29712,0.86406,0.82531,0.90478,0.61167,1.18021,0.90536,1.35051,0.00101,0.00101,0.00101
12,805.184,1.12107,0.84016,1.25467,0.90019,0.85741,0.91943,0.6261,1.13067,0.80145,1.28541,0.000911,0.000911,0.000911
13,872.527,1.07077,0.79002,1.22317,0.90804,0.84852,0.9403,0.64792,1.09353,0.74881,1.28042,0.000812,0.000812,0.000812
14,939.463,1.03203,0.7375,1.19571,0.87833,0.8862,0.94103,0.6639,1.07853,0.71218,1.25033,0.000713,0.000713,0.000713
15,1007.19,0.98606,0.68763,1.16354,0.90731,0.88857,0.95125,0.68457,1.02729,0.68467,1.20883,0.000614,0.000614,0.000614
16,1075.17,0.95507,0.64796,1.14186,0.90254,0.89802,0.95739,0.70354,0.9674,0.63299,1.16903,0.000515,0.000515,0.000515
17,1143.04,0.93607,0.63285,1.12839,0.91071,0.93107,0.9717,0.72778,0.90744,0.5927,1.13722,0.000416,0.000416,0.000416
18,1211.45,0.89765,0.5985,1.10881,0.90825,0.92547,0.9708,0.7317,0.89947,0.58549,1.11496,0.000317,0.000317,0.000317
19,1280.08,0.8753,0.57766,1.08832,0.91309,0.93296,0.97129,0.73972,0.87955,0.55632,1.09598,0.000218,0.000218,0.000218
20,1349.94,0.83909,0.54997,1.06996,0.90977,0.93107,0.97238,0.73547,0.88103,0.54426,1.0983,0.000119,0.000119,0.000119
