epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,91.4986,1.12269,0.90195,1.22266,0.83754,0.79348,0.86946,0.55672,1.27383,1.05254,1.48102,0.0684799,0.00165895,0.00165895
2,244.118,1.23781,1.00737,1.31143,0.66202,0.58074,0.61551,0.36182,1.62743,1.60621,1.76696,0.0366487,0.003161,0.003161
3,317.473,1.26758,1.06733,1.32012,0.75753,0.69877,0.75667,0.44324,1.48698,1.2249,1.69771,0.00465237,0.00449805,0.00449805
4,411.757,1.24148,1.01819,1.30931,0.82903,0.76676,0.81983,0.52465,1.40613,1.10117,1.5539,0.0042575,0.0042575,0.0042575
5,486.97,1.26173,1.01175,1.30603,0.82591,0.8017,0.85999,0.56129,1.26324,1.00306,1.41099,0.00401,0.00401,0.00401
6,562.977,1.18853,0.94169,1.26966,0.8682,0.8593,0.91002,0.61708,1.18027,0.80856,1.33385,0.0037625,0.0037625,0.0037625
7,658.121,1.15977,0.90492,1.24947,0.87759,0.82814,0.90621,0.60597,1.21848,0.8359,1.36397,0.003515,0.003515,0.003515
8,733.501,1.16186,0.89551,1.2492,0.88813,0.89424,0.9434,0.65778,1.12773,0.74845,1.32285,0.0032675,0.0032675,0.0032675
9,809.181,1.11472,0.85521,1.22586,0.93517,0.88291,0.96079,0.68772,1.0474,0.66985,1.23107,0.00302,0.00302,0.00302
10,904.71,1.09954,0.82524,1.21309,0.89733,0.88574,0.93935,0.68348,1.02836,0.68774,1.22873,0.0027725,0.0027725,0.0027725
11,1009.4,1.04807,0.75011,1.2052,0.90155,0.89931,0.95737,0.66582,1.09156,0.69664,1.26237,0.002525,0.002525,0.002525
12,1084.76,1.00275,0.67601,1.16627,0.92588,0.90821,0.96918,0.70142,1.01982,0.62688,1.20811,0.0022775,0.0022775,0.0022775
13,1179.58,0.98657,0.63987,1.15835,0.91525,0.89707,0.95737,0.69455,1.03497,0.64262,1.23485,0.00203,0.00203,0.00203
14,1254.31,0.94244,0.6184,1.13601,0.93213,0.92085,0.97198,0.71185,0.97432,0.58965,1.17792,0.0017825,0.0017825,0.0017825
15,1329.87,0.89773,0.57499,1.10381,0.92366,0.94051,0.97839,0.73404,0.94876,0.56608,1.1428,0.001535,0.001535,0.001535
16,1416.67,0.87581,0.55618,1.08463,0.91755,0.94523,0.979,0.74479,0.88928,0.54057,1.11894,0.0012875,0.0012875,0.0012875
17,1492.24,0.85814,0.54236,1.07915,0.95815,0.93012,0.983,0.73719,0.90957,0.5361,1.12388,0.00104,0.00104,0.00104
18,1568.46,0.83015,0.5185,1.06346,0.93945,0.94145,0.98248,0.75736,0.8698,0.51615,1.09664,0.0007925,0.0007925,0.0007925
19,1663.07,0.81069,0.50645,1.04885,0.92903,0.95656,0.9841,0.77,0.83954,0.49614,1.07438,0.000545,0.000545,0.000545
20,1738.52,0.79297,0.4904,1.03904,0.93616,0.9554,0.98493,0.76185,0.84673,0.48686,1.07266,0.0002975,0.0002975,0.0002975
