epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.4393,1.87333,2.63805,1.86492,0.28879,0.16903,0.15761,0.08044,2.28652,13.5063,2.83001,0.0684799,0.00165895,0.00165895
2,120.377,1.89305,2.37731,1.90739,0.17234,0.21341,0.11395,0.05946,2.42374,6.09212,2.77481,0.0366487,0.003161,0.003161
3,184.201,1.81637,2.21548,1.83071,0.23377,0.242,0.16108,0.06796,2.11764,3.40782,2.25713,0.00465237,0.00449805,0.00449805
4,249,1.73734,2.04343,1.75781,0.49346,0.42682,0.41513,0.22182,1.80286,2.24592,2.01759,0.0042575,0.0042575,0.0042575
5,314.857,1.68358,1.90296,1.68579,0.59032,0.42589,0.47407,0.25634,1.80375,2.42544,1.95116,0.00401,0.00401,0.00401
6,381.177,1.57467,1.72469,1.61117,0.55347,0.57224,0.55497,0.30964,1.60922,1.79776,1.83141,0.0037625,0.0037625,0.0037625
7,448.216,1.51953,1.59658,1.55475,0.6975,0.59301,0.64041,0.36422,1.57527,1.58773,1.72496,0.003515,0.003515,0.003515
8,515.025,1.52516,1.56301,1.54887,0.70577,0.60529,0.67445,0.3928,1.52663,1.61983,1.70844,0.0032675,0.0032675,0.0032675
9,582.625,1.47657,1.47543,1.52688,0.75939,0.64673,0.71837,0.43566,1.43899,1.39143,1.65122,0.00302,0.00302,0.00302
10,650.381,1.42915,1.39048,1.48856,0.80492,0.7247,0.78818,0.49862,1.36541,1.26248,1.58808,0.0027725,0.0027725,0.0027725
11,745.87,1.37306,1.30449,1.49097,0.82625,0.71294,0.78413,0.50086,1.32948,1.19909,1.56703,0.002525,0.002525,0.002525
12,812.829,1.3154,1.17059,1.46599,0.86097,0.74851,0.84261,0.51998,1.37664,1.12671,1.59989,0.0022775,0.0022775,0.0022775
13,880.223,1.29231,1.09263,1.43465,0.82713,0.75001,0.82404,0.53541,1.28798,1.07601,1.5128,0.00203,0.00203,0.00203
14,947.791,1.23634,1.00227,1.39967,0.89386,0.82247,0.89579,0.58325,1.25642,0.93294,1.48216,0.0017825,0.0017825,0.0017825
15,1015.11,1.16216,0.93605,1.34105,0.88241,0.84986,0.90298,0.61271,1.17129,0.87163,1.40383,0.001535,0.001535,0.001535
16,1082.92,1.14139,0.86729,1.31982,0.91034,0.85328,0.90836,0.61469,1.15129,0.84353,1.37924,0.0012875,0.0012875,0.0012875
17,1150.36,1.11671,0.84449,1.29596,0.89613,0.85836,0.92102,0.63578,1.11907,0.80041,1.34377,0.00104,0.00104,0.00104
18,1218.33,1.06543,0.78434,1.26912,0.91773,0.8743,0.93412,0.66399,1.07424,0.75267,1.32087,0.0007925,0.0007925,0.0007925
19,1286.55,1.04132,0.75187,1.24254,0.90526,0.90085,0.94507,0.68073,1.0573,0.69715,1.29502,0.000545,0.000545,0.000545
20,1354.93,1.00211,0.71006,1.21298,0.92356,0.88989,0.94591,0.67874,1.04245,0.68348,1.27703,0.0002975,0.0002975,0.0002975
